year,id,url
2018,17,http://www.foxnews.com/entertainment/2018/01/02/outrage-grows-over-cnns-pot-infused-new-years-segment.html
2019,9,https://www.foxnews.com/health/california-doctor-license-revoked-prescribing-pot-cookies-to-treat-boys-temper-tantrums
2019,9,https://www.foxnews.com/health/can-you-use-medical-marijuana-if-youre-a-diabetic
EXTRACTED,ON,2020-12-18
2016,18,https://www.washingtonpost.com/blogs/post-partisan/wp/2013/06/11/the-insiders-the-gop-should-continue-to-oppose-marijuana-legalization/?tid=pm_opinion_pop
2016,18,https://www.washingtonpost.com/blogs/reliable-source/post/quoted-frank-ocean-acknowledges-pot-arrest-seems-unrattled-by-it/2013/01/04/f2a514ea-56c4-11e2-8b9e-dd8773594efc_blog.html
2016,22,https://www.washingtonpost.com/blogs/early-lead/post/robert-garrigus-says-he-and-other-golfers-smoked-pot-during-nationwide-tour-events/2011/06/30/AGtGyQsH_blog.html
2018,30,https://www.washingtonpost.com/amphtml/news/early-lead/wp/2016/06/19/jim-mcmahon-leonard-marshall-say-marijuana-can-help-nfl-players/
2018,30,https://www.washingtonpost.com/amphtml/news/to-your-health/wp/2016/11/09/medical-marijuana-victories-in-florida-north-dakota-arkansas-montana-turn-the-tide/
2019,13,https://www.washingtonpost.com/blogs/govbeat/wp/2015/02/18/group-opposed-to-legal-marijuana-plans-to-sue-colorado-and-industry-participants/
2019,13,https://www.washingtonpost.com/archive/politics/2003/05/23/ehrlich-signs-marijuana-bill/2f9a470c-b7da-4450-91b2-6293ec5a8664/?noredirect=on&utm_term=.2f22c7d03f60
2019,47,https://www.washingtonpost.com/archive/politics/1991/06/22/hhs-to-phase-out-marijuana-program/85908c08-c6d0-4aeb-9f43-3334ece0a35f/
2020,5,https://www.washingtonpost.com/business/2019/11/15/only-percent-americans-say-marijuana-should-be-completely-illegal/?mod=djemCapitalJournalDaybreak
2020,5,https://www.washingtonpost.com/business/2019/12/27/americas-marijuana-growers-are-best-world-federal-laws-are-keeping-them-out-global-markets/
EXTRACTED,ON,2020-11-21
2015,6,http://www.foxnews.com/entertainment/2013/11/11/miley-cyrus-lights-up-marijuana-joint-on-stage-at-amsterdam-awards-show/?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+foxnews%2Fentertainment+%28Internal+-+Entertainment+-+Mixed%29
2015,6,http://www.foxnews.com/entertainment/2013/02/08/exclusivenew-discovery-channel-series-pot-cops-chronicles-marijuana-crackdown/?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+foxnews%2Fentertainment+%28Internal+-+Entertainment+-+Mixed%29
2015,6,http://www.foxnews.com/entertainment/2013/02/09/snoop-dogg-smokes-marijuana-on-stage-during-bmi-songwriting-panel/print
2015,6,http://www.foxnews.com/entertainment/2013/05/24/actress-bynes-arrested-in-nyc-on-marijuana-charge/?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+foxnews%2Fmost-popular+%28Internal+-+Most+Popular+Content%29
2016,7,http://www.foxnews.com/entertainment/2010/11/29/willie-nelson-likely-face-jail-pot-bust-expert-says/print
2016,7,http://www.foxnews.com/entertainment/2011/03/14/james-freys-new-book-messiah-smoking-pot-sleeping-hooker/print
2017,4,http://www.foxnews.com/entertainment/2010/09/08/bob-marleys-daughter-pleads-guilty-growing-marijuana-home/print.html
2017,4,http://www.foxnews.com/entertainment/2011/06/07/willie-nelson-fined-500-in-marijuana-case.html
2018,5,http://www.foxnews.com/entertainment/2010/06/04/gossip-girl-star-chace-crawford-busted-marijuana-pot-possession.html
